Result for strategy BB_RPB_TSL
=========================================================== BACKTESTING REPORT ===========================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-------------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|    ACE/USDT |     55 |           3.34 |         183.88 |           441.751 |          36.81 |        1:35:00 |    51     0     4  92.7 |
|    BUY/USDT |     62 |           2.69 |         166.72 |           400.522 |          33.38 |        1:08:00 |    60     0     2  96.8 |
|  TRIAS/USDT |     51 |           2.99 |         152.33 |           360.911 |          30.08 |        1:23:00 |    49     0     2  96.1 |
|   HORD/USDT |     46 |           3.08 |         141.87 |           340.834 |          28.40 |        1:24:00 |    43     0     3  93.5 |
|    PYR/USDT |      7 |          12.49 |          87.46 |           210.122 |          17.51 |        0:46:00 |     7     0     0   100 |
|    TEL/USDT |     25 |           2.26 |          56.41 |           135.522 |          11.29 |        1:24:00 |    23     0     2  92.0 |
|  BEPRO/USDT |     16 |           3.35 |          53.64 |           124.207 |          10.35 |        1:53:00 |    15     0     1  93.8 |
|   LOCG/USDT |     31 |           1.64 |          50.80 |           122.043 |          10.17 |        2:46:00 |    27     0     4  87.1 |
|    VRA/USDT |     15 |           3.13 |          47.00 |           110.875 |           9.24 |        1:23:00 |    15     0     0   100 |
|  MATIC/USDT |     15 |           2.90 |          43.54 |           103.095 |           8.59 |        0:38:00 |    15     0     0   100 |
|   PDEX/USDT |     15 |           2.74 |          41.08 |            98.696 |           8.22 |        0:36:00 |    15     0     0   100 |
|    ETC/USDT |     13 |           3.11 |          40.37 |            96.992 |           8.08 |        0:50:00 |    13     0     0   100 |
|   XCAD/USDT |     10 |           3.29 |          32.90 |            79.035 |           6.59 |        0:31:00 |    10     0     0   100 |
|   CAKE/USDT |     14 |           2.32 |          32.54 |            78.174 |           6.51 |        3:03:00 |    14     0     0   100 |
|   FEAR/USDT |      5 |           6.31 |          31.53 |            75.736 |           6.31 |        2:04:00 |     5     0     0   100 |
|    ICP/USDT |     14 |           2.18 |          30.55 |            73.383 |           6.12 |        1:13:00 |    14     0     0   100 |
|    FTM/USDT |     13 |           2.32 |          30.17 |            72.288 |           6.02 |        1:58:00 |    13     0     0   100 |
|    ARX/USDT |     35 |           0.81 |          28.26 |            67.886 |           5.66 |        1:43:00 |    28     0     7  80.0 |
|    ONE/USDT |     10 |           2.72 |          27.20 |            65.341 |           5.45 |        2:01:00 |    10     0     0   100 |
|    CGG/USDT |      7 |           3.75 |          26.27 |            62.383 |           5.20 |        1:28:00 |     7     0     0   100 |
|   MASK/USDT |      7 |           3.47 |          24.32 |            58.425 |           4.87 |        0:55:00 |     6     0     1  85.7 |
|   COTI/USDT |     15 |           1.10 |          16.48 |            39.582 |           3.30 |        3:00:00 |    13     0     2  86.7 |
|  THETA/USDT |      8 |           2.05 |          16.37 |            37.972 |           3.16 |        1:39:00 |     7     0     1  87.5 |
|    MTV/USDT |     12 |           1.31 |          15.76 |            37.867 |           3.16 |        2:19:00 |    11     0     1  91.7 |
|  BOSON/USDT |     12 |           1.27 |          15.23 |            36.582 |           3.05 |        2:06:00 |    10     0     2  83.3 |
|    PHA/USDT |      7 |           2.16 |          15.15 |            36.404 |           3.03 |        1:54:00 |     7     0     0   100 |
|    XDB/USDT |     13 |           1.09 |          14.16 |            35.530 |           2.96 |        2:29:00 |    12     0     1  92.3 |
|    CKB/USDT |      7 |           2.04 |          14.26 |            33.449 |           2.79 |        1:13:00 |     7     0     0   100 |
|   AVAX/USDT |      4 |           3.44 |          13.76 |            33.055 |           2.75 |        7:18:00 |     4     0     0   100 |
|   ATOM/USDT |      5 |           2.69 |          13.44 |            32.289 |           2.69 |        2:49:00 |     5     0     0   100 |
|    FIL/USDT |      4 |           3.07 |          12.28 |            29.511 |           2.46 |        0:39:00 |     4     0     0   100 |
|    AVA/USDT |      6 |           2.01 |          12.05 |            28.961 |           2.41 |        1:03:00 |     6     0     0   100 |
|    LTC/USDT |      4 |           3.33 |          13.32 |            27.482 |           2.29 |        2:46:00 |     4     0     0   100 |
| STRONG/USDT |      5 |           2.17 |          10.83 |            26.013 |           2.17 |        0:55:00 |     5     0     0   100 |
|    DOT/USDT |      9 |           1.02 |           9.17 |            22.025 |           1.84 |        2:26:00 |     8     0     1  88.9 |
|    ADA/USDT |      3 |           2.94 |           8.81 |            21.176 |           1.76 |        0:40:00 |     3     0     0   100 |
|    ENJ/USDT |      3 |           2.89 |           8.68 |            20.844 |           1.74 |        2:32:00 |     3     0     0   100 |
