Result for strategy BB_RPB_TSL
=========================================================== BACKTESTING REPORT ===========================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-------------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|    ARX/USDT |    106 |           2.56 |         271.33 |           651.847 |          54.32 |        1:27:00 |    96     0    10  90.6 |
|    ACE/USDT |     83 |           2.55 |         211.65 |           508.464 |          42.37 |        2:03:00 |    77     0     6  92.8 |
|    PYR/USDT |     38 |           5.09 |         193.36 |           464.530 |          38.71 |        1:38:00 |    36     0     2  94.7 |
|   HORD/USDT |     55 |           3.06 |         168.26 |           404.219 |          33.68 |        1:05:00 |    52     0     3  94.5 |
|  TRIAS/USDT |     62 |           2.40 |         148.91 |           352.313 |          29.36 |        1:35:00 |    59     0     3  95.2 |
|    BUY/USDT |     66 |           2.09 |         137.68 |           330.753 |          27.56 |        1:25:00 |    62     0     4  93.9 |
|    TEL/USDT |     42 |           2.92 |         122.62 |           294.583 |          24.55 |        1:16:00 |    40     0     2  95.2 |
|    CGG/USDT |     55 |           2.22 |         122.14 |           293.421 |          24.45 |        2:00:00 |    53     0     2  96.4 |
|    MTV/USDT |     39 |           2.91 |         113.49 |           270.127 |          22.51 |        1:36:00 |    38     0     1  97.4 |
|  BEPRO/USDT |     45 |           2.45 |         110.25 |           261.740 |          21.81 |        1:18:00 |    43     0     2  95.6 |
|    LSS/USDT |     44 |           2.19 |          96.25 |           231.227 |          19.27 |        1:38:00 |    41     0     3  93.2 |
|   LABS/USDT |     42 |           2.23 |          93.53 |           224.442 |          18.70 |        1:43:00 |    40     0     2  95.2 |
|    XDB/USDT |     47 |           1.93 |          90.67 |           216.780 |          18.06 |        2:03:00 |    44     0     3  93.6 |
|    HTR/USDT |     44 |           2.00 |          88.16 |           211.800 |          17.65 |        1:27:00 |    42     0     2  95.5 |
|   XAVA/USDT |     50 |           1.73 |          86.53 |           207.881 |          17.32 |        1:25:00 |    44     0     6  88.0 |
|   2CRZ/USDT |     49 |           1.73 |          84.71 |           203.513 |          16.96 |        2:37:00 |    44     0     5  89.8 |
|   PDEX/USDT |     43 |           1.93 |          83.06 |           199.551 |          16.63 |        1:39:00 |    41     0     2  95.3 |
