Result for strategy BB_RPB_TSL
=========================================================== BACKTESTING REPORT ===========================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-------------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|    ARX/USDT |     25 |           2.58 |          64.61 |           155.224 |          12.94 |        1:22:00 |    23     0     2  92.0 |
|   XAVA/USDT |      6 |           6.17 |          37.00 |            88.878 |           7.41 |        0:58:00 |     6     0     0   100 |
|    XDB/USDT |     10 |           2.91 |          29.13 |            69.983 |           5.83 |        1:26:00 |    10     0     0   100 |
|    DAG/USDT |     10 |           2.87 |          28.69 |            68.923 |           5.74 |        0:40:00 |    10     0     0   100 |
|    TEL/USDT |     10 |           2.73 |          27.30 |            64.532 |           5.38 |        1:30:00 |    10     0     0   100 |
|    ACE/USDT |      8 |           3.24 |          25.91 |            59.873 |           4.99 |        2:38:00 |     8     0     0   100 |
|  BEPRO/USDT |      7 |           3.24 |          22.66 |            54.437 |           4.54 |        0:34:00 |     7     0     0   100 |
|    CGG/USDT |     14 |           1.61 |          22.57 |            53.634 |           4.47 |        2:26:00 |    13     0     1  92.9 |
|    MEM/USDT |     21 |           0.87 |          18.23 |            43.791 |           3.65 |        2:00:00 |    16     0     5  76.2 |
|   SAND/USDT |      5 |           3.14 |          15.70 |            37.719 |           3.14 |        1:24:00 |     5     0     0   100 |
|   FEAR/USDT |     23 |           0.63 |          14.45 |            34.719 |           2.89 |        3:12:00 |    21     0     2  91.3 |
|    PHA/USDT |      1 |          13.20 |          13.20 |            31.718 |           2.64 |        0:50:00 |     1     0     0   100 |
| STRONG/USDT |      6 |           2.14 |          12.87 |            30.915 |           2.58 |        1:11:00 |     6     0     0   100 |
|    AXS/USDT |      4 |           2.45 |           9.80 |            23.538 |           1.96 |        2:41:00 |     4     0     0   100 |
|    MAN/USDT |      5 |           1.64 |           8.19 |            19.677 |           1.64 |        2:20:00 |     5     0     0   100 |
|   LABS/USDT |      3 |           2.62 |           7.86 |            18.882 |           1.57 |        3:13:00 |     3     0     0   100 |
|   PDEX/USDT |      4 |           1.91 |           7.64 |            18.361 |           1.53 |        0:32:00 |     4     0     0   100 |
|    QNT/USDT |      2 |           3.64 |           7.28 |            17.501 |           1.46 |        1:22:00 |     2     0     0   100 |
|   LOCG/USDT |     21 |           0.30 |           6.37 |            15.311 |           1.28 |        2:43:00 |    17     0     4  81.0 |
|    HTR/USDT |      5 |           1.19 |           5.95 |            14.283 |           1.19 |        2:00:00 |     5     0     0   100 |
|   HORD/USDT |      3 |           1.97 |           5.91 |            14.193 |           1.18 |        0:55:00 |     3     0     0   100 |
|   MANA/USDT |      2 |           2.21 |           4.42 |            10.624 |           0.89 |        1:15:00 |     2     0     0   100 |
|  SFUND/USDT |      5 |           0.88 |           4.38 |            10.527 |           0.88 |        3:48:00 |     5     0     0   100 |
|    ZCX/USDT |      2 |           2.02 |           4.03 |             9.685 |           0.81 |        1:50:00 |     2     0     0   100 |
|   TOKO/USDT |      2 |           1.92 |           3.84 |             9.226 |           0.77 |        5:32:00 |     2     0     0   100 |
|    VRA/USDT |      5 |           0.72 |           3.59 |             8.626 |           0.72 |        2:26:00 |     4     0     1  80.0 |
|    ICP/USDT |      1 |           3.27 |           3.27 |             7.864 |           0.66 |        1:20:00 |     1     0     0   100 |
|    CHR/USDT |      6 |           0.53 |           3.19 |             7.673 |           0.64 |        4:31:00 |     5     0     1  83.3 |
|    ENJ/USDT |      1 |           2.83 |           2.83 |             6.794 |           0.57 |        1:10:00 |     1     0     0   100 |
|  THETA/USDT |      1 |           2.70 |           2.70 |             6.477 |           0.54 |        2:25:00 |     1     0     0   100 |
|    PYR/USDT |      4 |           0.67 |           2.66 |             6.393 |           0.53 |        2:18:00 |     3     0     1  75.0 |
|    CQT/USDT |      1 |           2.62 |           2.62 |             6.286 |           0.52 |        0:05:00 |     1     0     0   100 |
