Result for strategy BB_RPB_TSL
=========================================================== BACKTESTING REPORT ===========================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-------------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|   2CRZ/USDT |     36 |           2.34 |          84.32 |           202.581 |          16.88 |        1:08:00 |    34     0     2  94.4 |
|    CQT/USDT |     14 |           3.97 |          55.61 |           133.587 |          11.13 |        1:09:00 |    14     0     0   100 |
|     QI/USDT |     21 |           2.51 |          52.69 |           126.589 |          10.55 |        1:42:00 |    19     0     2  90.5 |
|  SFUND/USDT |     18 |           2.25 |          40.53 |            97.363 |           8.11 |        1:22:00 |    17     0     1  94.4 |
|   LABS/USDT |     15 |           2.52 |          37.73 |            90.631 |           7.55 |        0:59:00 |    15     0     0   100 |
|    CGG/USDT |     12 |           3.14 |          37.69 |            90.545 |           7.55 |        0:55:00 |    12     0     0   100 |
|    ERG/USDT |      4 |           8.04 |          32.16 |            77.271 |           6.44 |        0:31:00 |     4     0     0   100 |
|    ARX/USDT |     21 |           1.38 |          29.04 |            69.762 |           5.81 |        2:07:00 |    20     0     1  95.2 |
|    LSS/USDT |     10 |           2.14 |          21.41 |            51.440 |           4.29 |        1:04:00 |    10     0     0   100 |
|    MAN/USDT |      4 |           4.85 |          19.38 |            46.565 |           3.88 |        2:24:00 |     4     0     0   100 |
|   TOKO/USDT |      7 |           2.69 |          18.80 |            45.171 |           3.76 |        2:24:00 |     7     0     0   100 |
|   XAVA/USDT |     22 |           0.82 |          18.01 |            43.275 |           3.61 |        1:15:00 |    18     0     4  81.8 |
|   COTI/USDT |      5 |           3.45 |          17.25 |            41.445 |           3.45 |        0:43:00 |     5     0     0   100 |
|  TRIAS/USDT |      8 |           2.03 |          16.22 |            38.960 |           3.25 |        1:51:00 |     8     0     0   100 |
|   HORD/USDT |      3 |           5.03 |          15.10 |            36.280 |           3.02 |        0:28:00 |     3     0     0   100 |
|  BEPRO/USDT |      6 |           2.41 |          14.48 |            34.790 |           2.90 |        0:42:00 |     6     0     0   100 |
|    PYR/USDT |      3 |           4.66 |          13.97 |            33.567 |           2.80 |        4:47:00 |     3     0     0   100 |
|   PDEX/USDT |     12 |           1.05 |          12.64 |            30.375 |           2.53 |        2:46:00 |    11     0     1  91.7 |
|    DYP/USDT |      4 |           3.03 |          12.13 |            29.132 |           2.43 |        3:05:00 |     3     0     1  75.0 |
|   MASK/USDT |      6 |           2.01 |          12.07 |            28.988 |           2.42 |        1:29:00 |     5     0     1  83.3 |
|    DAG/USDT |      4 |           2.95 |          11.81 |            28.366 |           2.36 |        0:48:00 |     4     0     0   100 |
|   ALBT/USDT |      3 |           3.47 |          10.41 |            25.009 |           2.08 |        5:28:00 |     3     0     0   100 |
|  BOSON/USDT |      4 |           2.27 |           9.07 |            21.797 |           1.82 |        1:49:00 |     4     0     0   100 |
|    VRA/USDT |      4 |           1.85 |           7.41 |            17.810 |           1.48 |        0:45:00 |     4     0     0   100 |
|    ACE/USDT |      4 |           1.85 |           7.41 |            17.810 |           1.48 |        1:00:00 |     4     0     0   100 |
|    MTV/USDT |      3 |           2.07 |           6.20 |            14.896 |           1.24 |        1:43:00 |     3     0     0   100 |
|    FTM/USDT |      2 |           2.94 |           5.88 |            14.120 |           1.18 |        2:15:00 |     2     0     0   100 |
|    XDC/USDT |      3 |           2.01 |           6.04 |            13.868 |           1.16 |        1:47:00 |     3     0     0   100 |
|   MOVR/USDT |      2 |           2.18 |           4.36 |            10.473 |           0.87 |        0:25:00 |     2     0     0   100 |
|   XCAD/USDT |      5 |           0.85 |           4.26 |            10.234 |           0.85 |        2:12:00 |     4     0     1  80.0 |
|    AXS/USDT |      1 |           3.18 |           3.18 |             7.630 |           0.64 |        1:05:00 |     1     0     0   100 |
|    TEL/USDT |      1 |           3.04 |           3.04 |             7.306 |           0.61 |        0:20:00 |     1     0     0   100 |
|   MANA/USDT |      1 |           2.24 |           2.24 |             5.384 |           0.45 |        0:20:00 |     1     0     0   100 |
|    XRP/USDT |      1 |           2.13 |           2.13 |             5.121 |           0.43 |        2:05:00 |     1     0     0   100 |
|    SLP/USDT |      1 |           1.94 |           1.94 |             4.657 |           0.39 |        0:35:00 |     1     0     0   100 |
|   AVAX/USDT |      1 |           1.89 |           1.89 |             4.535 |           0.38 |        0:05:00 |     1     0     0   100 |
|    ORN/USDT |      1 |           1.76 |           1.76 |             4.236 |           0.35 |        0:05:00 |     1     0     0   100 |
|   FEAR/USDT |      1 |           1.38 |           1.38 |             3.307 |           0.28 |        0:40:00 |     1     0     0   100 |
| STRONG/USDT |      1 |           1.34 |           1.34 |             3.221 |           0.27 |        1:00:00 |     1     0     0   100 |
|   LYXE/USDT |      1 |           1.20 |           1.20 |             2.883 |           0.24 |        0:10:00 |     1     0     0   100 |
|   SAND/USDT |      1 |           0.03 |           0.03 |             0.069 |           0.01 |        0:15:00 |     1     0     0   100 |
|     AI/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    ADA/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|   ATOM/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    AVA/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|   AAVE/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    BNB/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    BTT/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|   CAKE/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|   CELO/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    CHR/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    CKB/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
