Result for strategy BB_RPB_TSL
=========================================================== BACKTESTING REPORT ===========================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-------------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|    LSS/USDT |     31 |           2.93 |          90.79 |           218.113 |          18.18 |        1:00:00 |    30     0     1  96.8 |
|    PBX/USDT |     30 |           2.89 |          86.59 |           208.033 |          17.34 |        0:58:00 |    29     0     1  96.7 |
|     AI/USDT |     16 |           2.50 |          39.97 |            96.022 |           8.00 |        0:30:00 |    16     0     0   100 |
|    XPR/USDT |      9 |           3.19 |          28.69 |            68.925 |           5.74 |        0:40:00 |     9     0     0   100 |
|    MEM/USDT |     16 |           1.52 |          24.30 |            58.389 |           4.87 |        0:58:00 |    13     0     3  81.2 |
|   LOCG/USDT |      8 |           2.54 |          20.28 |            48.725 |           4.06 |        1:05:00 |     8     0     0   100 |
|    ERG/USDT |      4 |           3.87 |          15.46 |            37.149 |           3.10 |        0:24:00 |     4     0     0   100 |
|   FEAR/USDT |      5 |           2.70 |          13.52 |            32.474 |           2.71 |        2:28:00 |     5     0     0   100 |
|    BUY/USDT |      4 |           2.39 |           9.57 |            22.987 |           1.92 |        1:05:00 |     4     0     0   100 |
|   MOVR/USDT |      3 |           3.18 |           9.53 |            22.895 |           1.91 |        0:52:00 |     3     0     0   100 |
|    MAN/USDT |      4 |           2.19 |           8.74 |            21.001 |           1.75 |        0:51:00 |     4     0     0   100 |
|  SFUND/USDT |      2 |           3.72 |           7.44 |            17.870 |           1.49 |        0:38:00 |     2     0     0   100 |
|    HTR/USDT |      2 |           3.58 |           7.16 |            17.199 |           1.43 |        0:30:00 |     2     0     0   100 |
|    XDB/USDT |      2 |           3.35 |           6.70 |            16.100 |           1.34 |        0:25:00 |     2     0     0   100 |
|    FIL/USDT |      2 |           3.17 |           6.33 |            15.218 |           1.27 |        0:45:00 |     2     0     0   100 |
|    ARX/USDT |      3 |           1.98 |           5.93 |            14.242 |           1.19 |        0:18:00 |     3     0     0   100 |
|  TRIAS/USDT |      3 |           1.90 |           5.69 |            13.676 |           1.14 |        2:10:00 |     3     0     0   100 |
|  BOSON/USDT |      3 |           1.82 |           5.45 |            13.088 |           1.09 |        0:37:00 |     3     0     0   100 |
|    CRV/USDT |      2 |           2.66 |           5.31 |            12.766 |           1.06 |        1:40:00 |     2     0     0   100 |
|   TOKO/USDT |      8 |           0.55 |           4.37 |            10.501 |           0.88 |        2:38:00 |     7     0     1  87.5 |
|     QI/USDT |      1 |           3.57 |           3.57 |             8.569 |           0.71 |        0:05:00 |     1     0     0   100 |
|   HORD/USDT |      2 |           1.76 |           3.52 |             8.462 |           0.71 |        0:25:00 |     2     0     0   100 |
| STRONG/USDT |      1 |           2.44 |           2.44 |             5.863 |           0.49 |        3:35:00 |     1     0     0   100 |
|   DYDX/USDT |      1 |           2.42 |           2.42 |             5.808 |           0.48 |        0:15:00 |     1     0     0   100 |
|    CKB/USDT |      1 |           1.98 |           1.98 |             4.764 |           0.40 |        0:10:00 |     1     0     0   100 |
|    PYR/USDT |      2 |           0.99 |           1.98 |             4.747 |           0.40 |        3:58:00 |     2     0     0   100 |
|    GRT/USDT |      1 |           1.91 |           1.91 |             4.598 |           0.38 |        0:20:00 |     1     0     0   100 |
|   WILD/USDT |      4 |           0.45 |           1.82 |             4.362 |           0.36 |        1:09:00 |     3     0     1  75.0 |
|   XAVA/USDT |      2 |           0.87 |           1.75 |             4.192 |           0.35 |        0:32:00 |     2     0     0   100 |
|    BTT/USDT |      1 |           1.66 |           1.66 |             3.990 |           0.33 |        0:40:00 |     1     0     0   100 |
|    DGB/USDT |      1 |           1.54 |           1.54 |             3.694 |           0.31 |        0:05:00 |     1     0     0   100 |
|    XTZ/USDT |      1 |           1.42 |           1.42 |             3.401 |           0.28 |        0:05:00 |     1     0     0   100 |
|   COMP/USDT |      1 |           1.15 |           1.15 |             2.765 |           0.23 |        0:25:00 |     1     0     0   100 |
|    CQT/USDT |      1 |           0.73 |           0.73 |             1.763 |           0.15 |        2:40:00 |     1     0     0   100 |
|  CIRUS/USDT |      1 |           0.54 |           0.54 |             1.287 |           0.11 |        2:20:00 |     1     0     0   100 |
|   COTI/USDT |      1 |           0.28 |           0.28 |             0.681 |           0.06 |        5:10:00 |     1     0     0   100 |
|    ETC/USDT |      1 |           0.22 |           0.22 |             0.527 |           0.04 |        0:10:00 |     1     0     0   100 |
|    ZCX/USDT |      1 |           0.08 |           0.08 |             0.198 |           0.02 |        7:30:00 |     1     0     0   100 |
|    ADA/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|   ATOM/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    AVA/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|   AVAX/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    AXS/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|  BEPRO/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    BNB/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|   CAKE/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|   CELO/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    CGG/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    CHR/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    DAG/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    DOT/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    ENJ/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    FTM/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|   HBAR/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    ICP/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|   IOTX/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|   IOST/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|   LINK/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    LTC/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|   MANA/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|  MATIC/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    MTV/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|   NEAR/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    ONE/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    ORN/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|   PDEX/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    REN/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|  ROUTE/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|   SAND/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    SLP/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    SNX/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|  THETA/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    TRX/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    UNI/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    VET/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    VRA/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|  WAVES/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    WOO/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    XDC/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    XEM/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    XLM/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    XRP/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    YFI/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    ZEC/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    ZIL/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|   LYXE/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    OMG/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|   ALGO/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|   ALBT/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    PHA/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    SOL/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    TEL/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|   XCAD/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|   ROSE/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    QNT/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
